Homo_sapiens,Gorilla_gorilla,Pan_paniscus
XM_017000868,XM_019010983,XM_003822088
NM_006610,XM_004024639,XM_003822087
XM_017002179,XM_019010991,XM_003822086
XM_005263475,XM_019010998,XM_008975615
XM_024446187,XM_019011017,XM_008975614
NM_021146,XM_019011025,XM_003822085
NM_013319,XM_004024642,XM_003822082
XM_011541828,XM_004024643,XM_003822081
NM_012168,XM_004024644,XM_003822076
XM_017002842,XM_019011121,XM_008975602
XM_017001007,XM_019011079,XM_008975611
XM_024450407,XM_019011151,XM_008975596
XM_011541405,XM_019033574,XM_008975597
XM_011541800,XM_019011179,XM_003822071
XM_024446509,XM_019011205,XM_008975587
NM_001330358,XM_019011222,XM_008975588
NM_001286,XM_004024655,XM_003822067
NM_006172,XM_019011247,XM_008975592
NM_002521,XM_019037134,XM_008975586
XM_005263531,XM_019011265,XM_008975734
NM_001316320,XM_019011273,XM_003822061
XM_024451299,XM_019011291,XM_008975584
XM_011541896,XM_019011306,XM_024925259
NM_001243,XM_019033460,XM_003822060
XM_017002211,XM_004024663,XM_024925494
NM_015378,XM_019033602,XM_008975571
NM_004753,XM_019011338,XM_003822056
NM_001013630,XM_004024665,XM_003822055
NM_001103170,XM_004024678,XM_003822054
NM_152290,XM_004024680,XM_003822053
NM_001080830,XM_004024681,XM_008975569
NM_023013,XM_004024682,XM_008975567
NM_001013631,XM_019020322,
NM_001039361,XM_019038052,
NM_001012277,XM_004024695,
NM_001146181,XM_004024692,
NM_001136561,XM_004024689,
NM_001099850,XM_019037764,
NM_001013407,,
XM_017001269,,
NM_001024661,XM_019033657,
NM_001099790,XM_019033667,XM_003804149
NM_001099851,XM_019033677,XM_003806271
NM_001099852,XM_004024697,XM_003806270
NM_001010847,XM_004024701,XM_024926486
NM_006474,XM_004024702,XM_003806267
XM_017002256,XM_019011362,XM_008951851
XM_011541074,XM_019011375,XM_014342705
XM_017001590,XM_004024714,XM_008951829
NM_001278501,XM_004024715,XM_008951809
XM_017000199,XM_019018846,XM_024926833
NM_024329,XM_019033717,XM_008951797
XM_011540550,XM_019036534,XM_003806260
XM_011542273,XM_019011435,XM_003806257
NM_015291,XM_019011457,XM_008951766
NM_024758,XM_004024720,XM_003806256
NM_032341,XM_019011485,XM_008951744
NM_006511,XM_019011470,
XM_017000757,XM_019011503,XM_008951742
NM_207348,XM_004024722,XM_014342657
NM_001013641,XM_004024721,XM_003806252
XM_017001524,XM_019011551,XM_024928231
NM_001089591,XM_019019989,XM_008951688
NM_015001,XM_004024727,XM_003806247
NM_001287603,XM_004024728,XM_008951633
NM_178840,XM_004024732,XM_003806243
NM_001349682,XM_004024731,XM_003806241
NM_004070,XM_019011608,XM_008951559
NM_000085,,XM_003806239
NM_182623,XM_004024744,XM_008951878
NM_004431,XM_019033733,XM_003806238
XM_011540706,XM_019033747,XM_024926318
NM_030907,,XM_003806236
XM_006710698,XM_019011628,XM_003806235
NM_001114600,XM_019019911,XM_003806234
XM_017001216,XM_019033762,XM_008951457
NM_001145277,XM_004024752,XM_003806231
XM_011542468,XM_019011674,XM_024928318
NM_017459,XM_004024765,
XM_005245810,XM_019033823,XM_008967126
NM_003000,XM_019011689,XM_003814449
NM_007365,XM_004024764,XM_003814448
NM_013358,XM_004024768,XM_003814447
NM_016233,XM_019037557,XM_003814446
NM_012387,XM_019036436,XM_003814445
NM_207421,XM_004024771,XM_003814444
NM_018715,XM_019033839,XM_008967139
XM_017001621,XM_019011717,XM_014343791
XM_011542212,XM_004024772,XM_003814442
NM_032880,XM_004024773,XM_014343826
NM_152375,XM_004024774,XM_003814440
NM_002584,XM_019037710,XM_008967110
NM_152232,XM_019039186,XM_003814437
NM_170726,XM_004024777,XM_003814434
NM_001136265,XM_004024780,XM_008967137
XM_011541108,XM_019011812,XM_008967093
XM_005245787,XM_019011839,XM_008967099
NM_016183,XM_004024782,XM_014343759
XM_011541046,XM_019033851,XM_014343755
NM_003689,XM_004024785,
XM_005245916,XM_019011900,XM_003814426
XM_011542228,XM_019011930,XM_008967088
NM_001204083,XM_019011994,XM_003814423
NM_182744,XM_019012007,XM_008967084
NM_000871,XM_004024803,XM_003814420
XM_017000915,XM_019014967,XM_008967083
NM_019062,XM_004065290,XM_003814417
XM_005245792,XM_019012015,XM_014343829
NM_014589,XM_004024810,XM_008967080
NM_001161729,XM_019016520,XM_024926131
XM_011541586,XM_019016065,XM_024927182
NM_012400,XM_004024817,XM_003814410
XM_011541955,XM_004024818,XM_003814409
NM_001316722,XM_019039223,XM_014343402
XM_011540699,XM_019019830,XM_008967075
XM_011540685,XM_004024830,XM_003814406
NM_018584,XM_019012030,XM_008967070
NM_024544,XM_019012047,XM_003814403
NM_207334,XM_004024823,XM_024928388
NM_001785,XM_019036424,XM_003814402
NM_032409,XM_004024825,XM_008967068
NM_005216,XM_004024826,XM_008967066
NM_020816,XM_019012081,XM_003814400
XM_011541461,XM_019012126,XM_008967060
XM_017001393,XM_019033873,XM_008967056
XM_017002672,XM_019033880,XM_008967038
XM_011540872,XM_019012151,XM_003814395
NM_032264,XM_019033904,XM_008966537
XM_006710546,XM_004024844,XM_008966543
XM_017001971,XM_019012209,XM_014343856
NM_032236,XM_019012274,XM_003813953
XM_005245873,XM_019012301,XM_024928713
XM_011541318,XM_019012292,XM_014343867
NM_007352,,
NM_005747,XM_019033922,XM_008966583
NM_044472,XM_019012341,XM_003813960
XM_011541597,XM_004024854,XM_008966560
XM_011542499,XM_004024856,XM_003813965
NM_020526,XM_004024857,XM_014343852
NM_015991,XM_004024860,XM_024929670
NM_172369,XM_019012374,XM_024929674
XM_011542059,XM_019012402,XM_008966564
NM_001309193,XM_019013648,XM_008966567
NM_001289974,XM_019039525,XM_008966573
NM_001242521,XM_019037860,XM_003813970
XM_006710474,XM_004024870,XM_008966574
XM_017002252,XM_019012451,XM_024927954
NM_000864,XM_004024873,XM_003810743
XM_011540471,XM_019012500,XM_008963106
NM_030634,XM_004024878,XM_024927519
XM_017002200,XM_019012531,XM_024925879
XM_011541755,XM_019033944,XM_008963114
NM_004091,XM_019012547,XM_003810754
NM_002167,XM_004024884,XM_003810755
NM_001348075,,XM_024927033
NM_000975,XM_019012566,XM_003810760
NM_003198,XM_004024889,XM_003810757
NM_020362,XM_004024892,XM_003810786
XM_024452796,XM_019012594,XM_008963118
NM_001127621,XM_019012618,XM_008963123
NM_000191,XM_004024896,XM_008963127
NM_000147,XM_019012672,XM_003810762
XM_017000261,XM_019012687,XM_008963131
XM_017001691,XM_004024905,XM_008963133
NM_054016,XM_019012720,XM_003810763
NM_152372,XM_004024914,XM_008963142
NM_021258,XM_004024915,XM_003810766
NM_170743,XM_004024916,XM_003810767
NM_198174,XM_019012771,XM_003810769
XM_011542403,XM_019012823,XM_008963147
NM_020448,XM_019012879,XM_003810772
NM_013441,XM_004025180,XM_003810777
XM_011541463,XM_004025183,XM_003810778
XM_017000016,XM_019012914,XM_008963153
NM_013943,XM_019012943,XM_008963159
XM_005246024,XM_004025187,XM_008963161
NM_015484,XM_004065408,XM_003810782
XM_011541797,XM_004025189,XM_003810784
NM_001282871,NM_001279597,
XM_011541159,XM_004025190,XM_003804169
XM_011541889,XM_019012966,
NM_018202,,XM_003809477
NM_015627,XM_004025195,XM_008961696
NM_020379,XM_004025196,XM_003809476
NM_020451,XM_019013004,XM_003845949
NM_019557,XM_004025200,XM_014344047
NM_001287490,XM_004025204,XM_003809475
XM_011540862,XM_019013012,XM_008961691
NM_001145454,XM_019013046,XM_008961690
XM_011541528,XM_019018073,XM_008961688
NM_004455,XM_004025215,XM_003809460
NM_001004434,XM_004025216,XM_003809458
XM_017002559,XM_004025218,XM_003809456
XM_005245743,XM_004025222,XM_003809455
NM_024869,XM_004025223,XM_008961702
NM_015871,XM_004025225,XM_003809452
NM_001297647,XM_019013048,XM_014344115
NM_198137,XM_004025226,XM_003809451
XM_024449200,XM_019013072,XM_003809443
NM_031286,XM_004025227,XM_008961682
NM_183008,XM_019013090,XM_008961674
NM_001803,XM_004025228,XM_003809448
XM_011541673,,XM_008961701
XM_017000955,XM_019013214,XM_008961669
XM_011542148,XM_019013266,XM_003809441
NM_024887,XM_019013297,XM_008961664
NM_005517,XM_004025238,XM_003809435
NM_001006665,XM_004025239,XM_003809433
NM_006015,XM_019013361,XM_014344088
NM_017837,XM_019013406,XM_008961657
NM_032283,XM_004025299,XM_008961653
NM_006142,XM_004025248,XM_003809430
NM_018066,XM_004025250,XM_003809428
NM_022078,XM_004025249,XM_003809427
XM_017000094,XM_019013454,XM_003809426
NM_021969,XM_004025252,XM_003809429
XM_011540622,XM_019013475,XM_008961651
XM_005245867,XM_004025301,
NM_052943,,XM_003809424
NM_003047,XM_004025254,XM_003809423
XM_011541057,XM_019013524,XM_008961644
NM_032125,XM_019013562,XM_008961643
XM_024450435,XM_004025258,XM_008961639
NM_004672,XM_004025261,XM_003809416
NM_003665,XM_019037916,XM_003809479
NM_001330448,XM_019038149,XM_014344137
NM_005281,XM_004025266,XM_003828069
NM_006990,XM_019013606,XM_003828070
XM_024446461,XM_019013616,XM_014344264
XM_011541010,XM_004025267,XM_003828074
NM_022873,XM_004025268,XM_008953397
NM_001143912,XM_019016551,XM_003828162
NM_177424,XM_019013670,XM_003828077
NM_014110,XM_004025270,XM_008953511
NM_001105556,XM_004025275,XM_003828078
NM_001297558,XM_004025278,XM_003828079
XM_011541259,XM_004025282,XM_003828081
XM_011541679,XM_004025283,XM_008953512
XM_024453987,XM_019013728,XM_008953403
NM_001164723,XM_019013750,XM_003828082
NM_014280,XM_019013757,XM_003828088
NM_016311,,XM_003828089
NM_031459,XM_004025286,XM_003828090
XM_005245914,XM_019034539,XM_003828092
XM_017002158,XM_019013774,XM_024926948
NM_001048194,XM_019034012,XM_003828093
NM_017846,XM_004025307,XM_003828097
XM_017000226,XM_019013803,XM_003828098
XM_017002186,XM_019013806,XM_008953416
XM_017000087,XM_004025315,XM_014344317
NM_016258,XM_019013815,XM_003828101
NM_000911,XM_004025316,XM_003828102
XM_017000584,XM_019013819,XM_008953420
XM_011541457,XM_019013834,
NM_005626,XM_019013836,XM_008953440
XM_011541539,XM_004025319,XM_003828107
XM_016999992,XM_019013872,XM_008953442
NM_002379,XM_004025331,XM_003828109
NM_006762,XM_019013951,XM_003828110
NM_014654,XM_019013968,XM_008953449
NM_001020658,XM_019014005,XM_008953450
NM_024522,XM_004025336,XM_003828116
NM_004814,XM_019014111,XM_003828118
NM_001282566,XM_019014140,XM_008953464
NM_001320996,XM_004025338,XM_003828123
NM_001199038,XM_004025343,XM_024930085
NM_022164,XM_019014201,XM_003828126
XM_024446605,XM_004025344,XM_003828128
NM_012392,XM_019014271,XM_003828129
NM_001856,XM_004025347,XM_003828130
XM_017001899,XM_019014294,XM_008953477
NM_144569,XM_019025650,XM_008953484
NM_080391,XM_019014334,XM_024929515
NM_006559,XM_004025352,XM_003828137
NM_018056,XM_019014356,XM_003828139
XM_005270711,XM_019014402,XM_008953494
XM_017000563,XM_019014427,XM_003828140
XM_011542113,XM_019014453,XM_008953498
XM_024448415,XM_019014474,XM_008953500
NM_001160042,XM_004025359,XM_003828146
NM_001099434,XM_004025356,XM_003828144
NM_003757,XM_004025355,XM_003828143
NM_032648,XM_004025366,XM_003828149
XM_024447047,XM_019014546,XM_008953506
NM_004964,XM_004025370,XM_003828153
NM_023009,XM_004025377,XM_008953507
NM_052841,XM_004025376,XM_003828159
NM_001167676,XM_019014597,XM_014344204
NM_001300958,XM_019014625,XM_024929664
NM_001145720,XM_004025381,XM_003812968
NM_001040441,XM_004025407,XM_008965513
NM_178547,XM_004025382,XM_003812970
NM_005610,XM_019014693,XM_003812965
XM_024450010,XM_019014699,XM_024927109
NM_020888,XM_019014746,XM_008965508
NM_003680,XM_004025387,XM_003812532
XM_024449177,XM_019014771,XM_008964976
NM_153756,XM_019014798,XM_014344499
XM_017001118,XM_019014848,XM_014344485
NM_001329722,XM_019014827,XM_008964982
XM_006710356,XM_019014853,XM_003812538
NM_001625,XM_019014870,XM_003812539
NM_001301825,XM_019035603,XM_008964970
XM_017001629,XM_019014898,XM_003812543
XM_017000415,XM_019034075,XM_003812545
NM_001080438,XM_019034086,XM_008965056
NM_198040,XM_019014913,XM_008964987
XM_017002237,XM_004025412,XM_008965001
XM_024452878,XM_019034101,XM_008964993
NM_145205,XM_004065302,XM_003812549
NM_001134734,XM_004025413,XM_003812550
XM_005270751,XM_004025430,XM_003812561
XM_011540679,XM_004025423,XM_003812560
NM_024009,XM_004025421,XM_003812558
XM_017001043,XM_004025414,XM_014344447
XM_011540554,XM_019015007,XM_014344455
XM_011541879,XM_019015046,XM_003812563
NM_001195156,XM_004025431,XM_008965012
NM_007167,XM_019015051,XM_008965016
XM_024449822,XM_019015084,XM_008965017
XM_017002054,XM_019034117,XM_024927785
XM_005271328,XM_004025472,XM_024928165
XM_017002369,XM_019015157,XM_014344384
NM_014284,XM_019015181,XM_008965024
NM_178548,XM_004025440,XM_008965058
NM_002794,XM_004025441,XM_003812572
NM_152374,XM_004025446,XM_014344490
NM_022111,XM_004025448,XM_014344492
NM_017629,XM_019034125,XM_008965040
NM_001317122,XM_019015244,XM_008965043
XM_017000523,XM_019015255,XM_003812581
XM_017001055,XM_019039262,XM_008965047
NM_017825,XM_004025454,XM_003812585
XM_005270477,XM_004025453,XM_003812586
NM_001270894,XM_004025455,XM_003812587
NM_018067,XM_019015281,XM_008965059
NM_005119,XM_019015335,XM_014344444
XM_017002340,XM_019015357,XM_008965049
XM_017001627,XM_019015386,XM_003812589
NM_001282546,XM_019015397,XM_008965050
NM_032881,XM_004025468,XM_003812593
NM_001330493,XM_019015411,XM_003812595
NM_031280,XM_004025469,XM_003812596
XM_017000370,XM_019015457,XM_003812597
NM_000831,XM_019015481,XM_008968480
NM_025079,XM_004025477,XM_008968479
NM_022756,XM_019015522,XM_008968483
NM_024700,XM_004025481,XM_003815491
NM_003462,XM_004025480,XM_003815490
NM_001323623,XM_019015549,XM_003815489
XM_006710583,XM_004025484,XM_003815486
XM_011541638,XM_019015572,XM_014344588
NM_018101,XM_004025488,XM_008968469
NM_001099439,XM_019015623,XM_014344582
NM_001113482,XM_019015630,XM_008968466
NM_024640,XM_004025492,XM_003815483
NM_198446,XM_019034150,XM_014344573
XM_011541491,XM_019015662,XM_024928923
NM_005540,XM_019015686,XM_024928777
NM_006802,XM_019015723,XM_003815480
XM_024454101,XM_004025495,XM_008968461
NM_016037,XM_004025496,XM_003815479
NM_002699,,
NM_022157,XM_004025500,XM_003815475
NM_012333,XM_004025497,XM_008968459
NM_030772,XM_004025498,XM_003815478
NM_001304746,XM_019015782,XM_008968457
NM_024595,XM_004025506,XM_003815493
NM_004552,NM_001279556,XM_008968456
XM_005270694,XM_019015807,XM_024925315
NM_015038,,XM_024925325
NM_181809,,XM_008968367
NM_001135653,XM_004025514,XM_003815404
NM_014571,XM_019016037,XM_008968374
NM_032526,XM_019016076,XM_003815407
XM_017001447,XM_019020021,XM_003815408
XM_017000051,XM_004025518,XM_003815411
XM_011542024,XM_004025520,
NM_022120,XM_019016061,XM_008968376
NM_017646,XM_019016133,XM_003815413
NM_001033082,XM_004025522,XM_008968378
NM_001136493,XM_004025524,XM_003815415
XM_017000069,XM_019016204,XM_014344640
NM_000310,XM_004025529,XM_003815421
NM_012421,XM_004025531,XM_003815422
NM_001008740,XM_004025532,XM_003815423
NM_005857,XM_019016244,XM_003815425
XM_017000332,XM_019034162,XM_003815424
NM_022733,XM_004025536,XM_008968388
XM_017002147,XM_004025540,XM_008968389
XM_006710605,XM_019016290,XM_008968394
XM_017002102,XM_019016317,XM_008968406
XM_017000290,XM_019016352,XM_008968407
XM_011542479,XM_019016408,XM_014344657
XM_005270895,XM_019016376,XM_014344654
NM_004700,XM_019016036,XM_008968418
NM_133467,,
XM_024453552,XM_019016449,XM_008968420
XM_011540953,XM_019016491,XM_008968433
XM_011541032,XM_019016457,XM_014344685
NM_001291281,XM_019034173,XM_024928800
NM_001956,XM_004025561,XM_003815442
XM_024448789,XM_019016540,XM_008968437
NM_007102,XM_004025564,XM_003812884
NM_033553,XM_004025565,XM_003812883
XM_005270632,XM_019016587,XM_024929512
NM_173642,XM_004025570,XM_003812880
NM_032257,XM_019016615,XM_003812878
XM_024449502,XM_019016687,XM_008965377
NM_024664,XM_004025571,XM_003812879
XM_017000057,XM_019016712,XM_003812876
NM_004559,XM_004025577,XM_003812874
NM_148960,XM_004025578,XM_003812873
NM_001243246,XM_019016725,XM_003812872
NM_024097,XM_019034190,XM_003812870
NM_001354602,,XM_008965366
XM_017001226,XM_019020049,XM_003812868
XM_011540570,XM_019016731,XM_014344740
XM_017001401,XM_019019514,XM_014344738
NM_006516,XM_004025589,XM_003812860
XM_005270875,XM_004025595,XM_003812859
NM_001159936,XM_004025594,XM_003812856
XM_017000422,XM_019016792,XM_008965361
XM_011540705,XM_019029097,XM_008965359
XM_011540802,XM_004025599,XM_024926404
NM_005424,XM_004025600,XM_003812850
XM_017001320,XM_004025602,XM_003812848
NM_001255,XM_004025604,XM_003812842
NM_022821,XM_019016841,XM_008965347
NM_052877,XM_019016824,XM_008965349
XM_005270686,XM_019016846,XM_003812838
NM_001330526,XM_019016851,XM_014344941
XM_011541873,XM_019016860,XM_008965341
XM_005271355,XM_019016890,XM_008965340
XM_017002109,XM_019016893,XM_008965324
NM_057090,XM_004025638,XM_008965386
NM_014652,XM_004025654,XM_003812825
XM_017000502,XM_004025649,XM_003812830
NM_001294333,XM_019016989,XM_008965321
NM_030587,XM_019017009,XM_003812827
XM_017000424,XM_019017052,XM_008965299
NM_201649,XM_004025641,XM_003812820
NM_173484,XM_004025659,XM_008965297
NM_001358438,,XM_024928885
XM_024448404,XM_019017092,XM_008965294
NM_024066,XM_019017125,XM_008965282
XM_011541700,XM_019017104,XM_014345043
NM_024587,XM_019017241,XM_008965278
XM_011541343,XM_019017230,XM_008965274
NM_006845,XM_019017279,XM_003812801
NM_001012,XM_004025667,XM_008965271
XM_024446367,XM_019017318,XM_014344791
NM_004073,XM_019017323,XM_024929035
XM_006710614,XM_019017332,XM_003812806
XM_017000447,XM_019017343,XM_003812800
NM_003738,XM_019017359,XM_008965267
XM_017002745,XM_019017370,XM_003812797
NM_024602,XM_004025676,XM_008965385
NM_000374,XM_004025678,XM_003812795
NM_020883,XM_019017414,XM_008965255
NM_032756,XM_004025685,XM_003812780
NM_001128425,XM_019017463,XM_003812772
XM_005270412,XM_004025692,XM_008965251
XM_024450111,XM_019017570,XM_014344810
XM_024453044,,XM_024929465
NM_015506,XM_004025697,XM_003812792
NM_181697,XM_019017599,XM_003812781
NM_153326,XM_019017606,XM_014345157
XM_005270888,XM_019017612,XM_008965236
XM_011540812,XM_004025699,XM_008965234
XM_024448810,XM_019017643,XM_014344885
XM_024447508,XM_019017676,XM_024929294
XM_024446763,XM_019017655,XM_008965231
XM_011541059,XM_019017682,XM_008965227
NM_001303428,XM_019017733,XM_014344915
XM_011540460,XM_004025715,XM_014344922
XM_006710756,XM_019017818,XM_014344914
NM_001013615,XM_004025716,XM_003812757
NM_003579,XM_019017867,XM_008965210
NM_006369,XM_004025719,XM_003812749
NM_199044,XM_004025726,XM_008965205
NM_001441,XM_004025739,XM_008965209
NM_147192,XM_004025729,XM_003812746
NM_001322255,XM_019017965,XM_024929174
NM_003684,XM_019017899,XM_014345138
NM_145279,XM_019017976,XM_014345133
NM_022745,XM_019034264,XM_024928948
XM_011541421,XM_019017998,XM_014345003
NM_014774,XM_004025736,XM_003812734
NM_001099772,XM_019034275,XM_008965188
NM_000778,XM_019034295,XM_008965187
NM_178134,,XM_003812885
NM_001010969,,XM_003829583
NM_005764,XM_004025745,XM_003829581
XM_017002191,XM_019025921,XM_024928967
XM_011541992,XM_019034301,XM_003829578
NM_016308,XM_019018068,XM_008954964
NM_012186,,
NM_004474,XM_019034309,
XM_006710640,XM_004025752,XM_024925747
XM_011540924,XM_019018403,XM_014345177
NM_019073,XM_019018104,XM_003829574
XM_011542308,XM_019018134,XM_008954952
NM_024603,XM_004025757,XM_003829573
XM_011540889,XM_019018156,XM_008954946
XM_011541937,XM_019034336,XM_024928980
NM_007051,XM_019018242,XM_008954961
NM_078626,XM_019018249,XM_014345172
NM_001136508,XM_004025777,XM_003829564
NM_014372,XM_004025779,XM_003829563
XM_011541048,XM_019018288,XM_008954938
XM_017000615,XM_019018340,XM_014345223
XM_011540599,XM_004025788,XM_008954926
NM_002525,XM_019018433,XM_003829557
XM_017001958,XM_019018484,XM_008954925
NM_015913,XM_019018500,XM_008976316
NM_138417,XM_004025794,XM_008976307
NM_152265,XM_019018507,XM_008976288
XM_011542437,XM_019018524,XM_003805894
XM_005270590,XM_019018555,XM_008967916
NM_004153,XM_019019012,XM_008967915
XM_011542315,XM_004025803,XM_003815034
NM_001009881,,XM_014345372
NM_015696,XM_004025805,XM_008967926
XM_011541377,,XM_003815031
NM_024646,XM_019018638,XM_003815029
NM_001004339,XM_019025121,XM_003815028
XM_011541709,XM_019018702,XM_003815025
NM_002979,XM_004025815,XM_003815020
NM_153703,XM_019018785,XM_008967892
NM_001287595,XM_004025820,XM_003815018
NM_000098,XM_019018788,XM_003815013
NM_017887,XM_004025824,XM_003815014
NM_002370,XM_004025823,XM_003815015
XM_005271173,XM_019018793,XM_024927790
NM_033067,XM_004025828,XM_024929048
XM_017000410,XM_019020611,XM_008967884
NM_018087,XM_019018867,XM_003815008
XM_017001499,XM_019018877,XM_003815005
NM_000792,XM_019018882,XM_008967879
NM_016126,XM_019018917,XM_008967875
XM_006710328,XM_019018896,XM_008967872
NM_001010978,XM_004025844,XM_003815000
NM_001305043,XM_019018941,XM_024927222
XM_017000293,XM_004025846,XM_003814999
NM_001353655,XM_019034363,XM_008967864
NM_001031672,XM_004025848,XM_003814997
NM_001330602,XM_019018960,XM_024928191
NM_145716,XM_019018964,XM_008967862
NM_015547,XM_019034366,XM_008967860
NM_176782,XM_004025850,XM_003814994
NM_001039464,XM_019018980,XM_014345384
NM_004623,XM_004025851,XM_003814995
NM_152268,XM_004025852,XM_003814990
NM_001114108,XM_004025853,XM_003814989
XM_017000480,XM_019034370,XM_003814987
NM_014762,XM_004025855,XM_008967854
XM_011540911,XM_004025858,XM_003814984
NM_057176,XM_004025859,XM_003814983
NM_174936,XM_004025860,XM_008967852
XM_017000831,XM_004025861,XM_008967853
NM_003713,XM_004025865,XM_003824211
NM_006252,XM_004025866,XM_024925274
XM_011540898,XM_004025867,XM_003824212
NM_000562,XM_004025868,XM_003824213
XM_017002235,XM_019019054,XM_008977953
NM_021080,XM_019019067,XM_014345447
NM_145243,XM_004025877,XM_014345459
NM_002353,XM_004025878,XM_003824220
NM_001085487,XM_004025879,XM_003824221
